,Geography,Con,Ind,Lab
0,Avon and Somerset,0,1,0
1,Bedfordshire,0,0,1
2,Cambridgeshire,1,0,0
3,Cheshire,1,0,0
4,Cleveland,0,0,1
5,Cumbria,1,0,0
6,Derbyshire,0,0,1
7,Devon and Cornwall,1,0,0
8,Dorset,0,1,0
9,Durham,0,0,1
10,Dyfed-Powys,1,0,0
11,Essex,1,0,0
12,Gloucestershire,0,1,0
13,Greater Manchester,0,0,1
14,Gwent,0,1,0
15,Hampshire,0,1,0
16,Hertfordshire,1,0,0
17,Humberside,1,0,0
18,Kent,0,1,0
19,Lancashire,0,0,1
20,Leicestershire,1,0,0
21,Lincolnshire,0,1,0
22,Merseyside,0,0,1
23,Norfolk,0,1,0
24,North Wales,0,1,0
25,North Yorkshire,1,0,0
26,Northamptonshire,1,0,0
27,Northumbria,0,0,1
28,Nottinghamshire,0,0,1
29,South Wales,0,0,1
30,South Yorkshire,0,0,1
31,Staffordshire,1,0,0
32,Suffolk,1,0,0
33,Surrey,0,1,0
34,Sussex,1,0,0
35,Thames Valley,1,0,0
36,Warwickshire,0,1,0
37,West Mercia,0,1,0
38,West Midlands,0,0,1
39,West Yorkshire,0,0,1
40,Wiltshire,1,0,0
41,Metropolitan Police,1,0,0
