,Geography,SS_White,SS_Black,SS_Asian,SS_Other,SS_Mixed
0,Cleveland,28793.0,227.0,605.0,150.0,136.0
1,Durham,4848.0,15.0,15.0,10.0,14.0
2,Northumbria,42225.0,189.0,864.0,49.0,114.0
3,North East Region,75866.0,431.0,1484.0,209.0,264.0
4,Cheshire,5746.0,64.0,63.0,78.0,51.0
5,Cumbria,9652.0,29.0,54.0,11.0,31.0
6,Greater Manchester,38134.0,3360.0,5268.0,560.0,1590.0
7,Lancashire,23000.0,282.0,2580.0,90.0,303.0
8,Merseyside,42011.0,789.0,286.0,259.0,532.0
9,North West Region,118543.0,4524.0,8251.0,998.0,2507.0
10,Humberside,8518.0,92.0,151.0,50.0,96.0
11,North Yorkshire,5425.0,37.0,147.0,13.0,27.0
12,South Yorkshire,20076.0,1027.0,1489.0,33.0,481.0
13,West Yorkshire,22087.0,933.0,4856.0,128.0,931.0
14,Yorkshire and the Humber Region,56106.0,2089.0,6643.0,224.0,1535.0
15,Derbyshire,10157.0,290.0,578.0,26.0,285.0
16,Leicestershire,15717.0,1699.0,4037.0,57.0,876.0
17,Lincolnshire,9426.0,82.0,63.0,5.0,75.0
18,Northamptonshire,11025.0,661.0,595.0,59.0,341.0
19,Nottinghamshire,3515.0,506.0,259.0,19.0,229.0
20,East Midlands Region,49840.0,3238.0,5532.0,166.0,1806.0
21,Staffordshire,10040.0,254.0,643.0,24.0,209.0
22,Warwickshire,4423.0,166.0,268.0,18.0,211.0
23,West Mercia,9539.0,247.0,573.0,10.0,240.0
24,West Midlands,10178.0,2720.0,5046.0,229.0,886.0
25,West Midlands Region,34180.0,3387.0,6530.0,281.0,1546.0
26,Bedfordshire,5853.0,1057.0,1483.0,56.0,407.0
27,Cambridgeshire,11382.0,453.0,898.0,75.0,337.0
28,Essex,5093.0,334.0,153.0,37.0,186.0
29,Hertfordshire,8301.0,638.0,813.0,234.0,464.0
30,Norfolk,14616.0,354.0,160.0,35.0,185.0
31,Suffolk,3061.0,128.0,47.0,8.0,112.0
32,East of England Region,48306.0,2964.0,3554.0,445.0,1691.0
33,"London, City of",2485.0,631.0,724.0,50.0,188.0
34,Metropolitan Police,246903.0,180872.0,95901.0,14599.0,22269.0
35,London Region,249388.0,181503.0,96625.0,14649.0,22457.0
36,Hampshire,23574.0,920.0,805.0,148.0,566.0
37,Kent,10564.0,468.0,292.0,85.0,186.0
38,Surrey,11606.0,625.0,810.0,104.0,333.0
39,Sussex,18539.0,905.0,803.0,95.0,403.0
40,Thames Valley,30411.0,3146.0,4557.0,270.0,1831.0
41,South East Region,94694.0,6064.0,7267.0,702.0,3319.0
42,Avon and Somerset,13190.0,1010.0,252.0,34.0,454.0
43,Devon and Cornwall,19016.0,164.0,82.0,32.0,166.0
44,Dorset,6238.0,294.0,78.0,20.0,98.0
45,Gloucestershire,3960.0,190.0,116.0,29.0,152.0
46,Wiltshire,4864.0,296.0,134.0,56.0,115.0
47,South West Region,47268.0,1954.0,662.0,171.0,985.0
48,ENGLAND,774191.0,206154.0,136548.0,17845.0,36110.0
49,Dyfed-Powys,13962.0,56.0,70.0,36.0,79.0
50,Gwent,7287.0,152.0,425.0,46.0,108.0
51,North Wales,6014.0,23.0,39.0,63.0,30.0
52,South Wales,12869.0,387.0,345.0,47.0,199.0
53,WALES,40132.0,618.0,879.0,192.0,416.0
54,British Transport Police,11962.0,2529.0,1202.0,236.0,694.0
55,ENGLAND AND WALES,826285.0,209301.0,138629.0,18273.0,37220.0
